start_time,end_time,bucket_start,bucket_end,text,sentiment,named_entities,word_count,speaker
0.0,13.36,0,5," Okay, so the drive you're going to complete and use the E-cautomation and the object detection",positive,,16,Unknown
13.36,17.4,10,15," system so that it will not be to operate the vehicle, so keep your hands off this steering",neutral,,18,SPEAKER_02
17.4,19.88,15,20, wheel and meet off the pedals and punch me in that drive.,neutral,,12,SPEAKER_02
19.88,20.88,15,20, Okay.,positive,,1,SPEAKER_02
20.88,23.8,20,25," So when you see that some driver in the caterer highlight green, make sure you don't get",positive,,17,SPEAKER_02
23.8,26.56,20,25, to break at any point during the drive.,neutral,,8,SPEAKER_02
26.56,30.66,25,30," This dot, the car cab look out will have the ODS for getting visual feedback for targets",neutral,,17,SPEAKER_02
30.66,31.66,30,35, that are in the environment.,neutral,,5,SPEAKER_02
31.66,35.64,30,35," So the car cab look out should pay attention to that screen, take them and wind out",negative,,17,SPEAKER_02
35.64,36.64,35,40, steering condition.,neutral,,2,SPEAKER_02
36.64,43.64,35,40, Remember to tap the targets on that ODS as well as completing those workstation tasks.,positive,,15,Unknown
43.64,48.64,40,45," All right, so all drivers, click your foot on the brake.",neutral,,11,Unknown
48.64,53.48,45,50, Do not remove your foot from the brake until I instruct you to remove it.,neutral,,15,Unknown
53.48,63.48,50,55, You can start the car.,neutral,,5,SPEAKER_02
63.48,66.96,60,65, You drove through me.,neutral,,4,Unknown
66.96,73.96,65,70, I'm going to drive.,neutral,,4,Unknown
73.96,78.0,70,75, I need to go back.,neutral,,5,Unknown
78.0,80.76,75,80, Car cab driver and only the car cab driver.,neutral,,9,SPEAKER_02
80.76,81.76,80,85, Yes.,positive,,1,SPEAKER_02
81.76,82.76,80,85, Right.,neutral,,1,SPEAKER_02
82.76,86.24,80,85, Make sure everyone isn't drive.,positive,,5,SPEAKER_02
86.24,87.8,85,90, I am now in drive.,neutral,,5,SPEAKER_01
87.8,90.4,85,90, Car cab driver and only the car cab driver.,neutral,,9,SPEAKER_02
90.4,95.32,90,95, Maybe you can move forward.,neutral,,5,SPEAKER_02
95.32,99.92,95,100, That's the driver you may remove your foot.,neutral,,8,SPEAKER_01
99.92,100.92,95,100, We now have some driver on.,neutral,,6,SPEAKER_01
100.92,105.92,100,105, We're looking at the first on the scooter.,neutral,,8,SPEAKER_01
105.92,113.56,105,110, What color skater has a crossbody tag?,neutral,,7,Unknown
113.56,114.56,110,115, Scooter.,neutral,"Sc, ##oot, ##er",1,SPEAKER_04
114.56,115.56,110,115," Yeah, has a crossbody tag.",positive,,5,SPEAKER_03
115.56,122.56,115,120, It's driving out of it.,neutral,,5,SPEAKER_03
122.56,129.56,120,125, I see scooters on both sides of the road.,neutral,,9,Unknown
129.56,133.56,125,130, Not motorcycles.,neutral,,2,SPEAKER_01
